round,cum_reward_lincb,cum_reward_random,cum_reward_oracle
124,-59.79591226885135,-59.63817381074685,-41.266007686973175
125,-59.70033075801653,-59.578330429479536,-40.87568558557457
126,-59.57472397714663,-59.39704227718086,-40.423267045179216
127,-59.42865137095076,-59.07276050232129,-40.053337688193494
128,-59.3370456722918,-58.687402993281246,-39.59426416435231
129,-59.38583933494067,-58.634720903450855,-39.60022038545428
130,-58.959388155185444,-58.23851741972251,-39.25748221653594
131,-59.02098606147275,-58.231256080866046,-39.257320468649205
132,-59.05392450276182,-58.24886473004602,-39.244765875940004
133,-58.5927652357814,-58.14044114744307,-38.762659328406116
134,-58.502142807881555,-58.15583042827706,-38.795175678076355
135,-58.50543590790799,-58.12479682339953,-38.74151867274645
136,-58.104190379212774,-57.88810524769936,-38.29974076019791
137,-58.12644902321102,-57.85645816600968,-38.23156993015068
138,-57.6783229763762,-57.80731985458311,-37.70457714148303
139,-57.48205305273741,-57.70618582711873,-37.32024858848637
140,-57.47629158310532,-57.659529643342594,-37.303429886055476
141,-57.53999503235299,-57.588827620292456,-37.35512555833826
142,-57.345995243475755,-57.508396150297564,-36.94054088973713
143,-57.3775244855536,-57.45550456911895,-36.57471387855959
144,-57.22085769204939,-57.09082140413794,-36.15887089428908
145,-57.09097245988767,-57.12333995134144,-36.24253333911717
146,-57.17790240988738,-56.903706915649316,-35.8766225695602
147,-57.13859366387792,-56.92589475250247,-35.972877913187006
148,-57.10192239809662,-56.86294014357179,-35.584883440078606
149,-56.87314991806494,-56.79909393188551,-35.1910445031291
150,-56.47516872849137,-56.812203984863935,-34.765913955804976
151,-56.371070917118665,-56.754480959108726,-34.34287986971377
152,-56.40121444193983,-56.68245574670923,-33.98941718440124
153,-56.3836049410345,-56.701283379260346,-33.920074873655885
154,-56.29897126927006,-56.699260950054324,-33.605793433010525
155,-56.31570102571796,-56.58912035447526,-33.19280624815461
156,-55.940778186218616,-56.30560249718073,-32.785863733919804
157,-55.93849857799511,-56.33704099256332,-32.63093602720507
158,-55.99053991778682,-56.33686213736696,-32.19151636353266
159,-55.94516517936596,-56.33506740987857,-32.12489405191473
160,-55.484872415980504,-55.90926319640371,-31.625975085961997
161,-55.13112753634783,-55.74324188307405,-31.233034682495454
162,-54.73717718565778,-55.36399619481547,-30.798250242433408
163,-54.51122895218366,-55.25693621723172,-30.50028069657756
164,-54.4501741292801,-55.12433546151676,-30.081566179795963
165,-54.3584837512245,-54.758478557875186,-29.673317311075294
166,-54.35616192381669,-54.72577577738956,-29.56472600348145
167,-54.37528028087138,-54.7588687843133,-29.504978061442113
168,-53.98840400724792,-54.717508218797654,-29.14147887863746
169,-53.96588822674654,-54.583796259117406,-28.705189832416153
170,-77.94697430732744,-78.38573388698497,-52.476730732030575
171,-77.97492039969102,-78.36676218212062,-52.50775575920547
172,-77.98334819339415,-78.18974228836298,-52.41041447021193
173,-77.92832814560967,-77.70041918964009,-51.98123425440147
174,-77.93061851103427,-77.69586046489849,-51.92250999720433
175,-77.58507234768224,-77.54875451455786,-51.55998792259
176,-77.4380066835419,-77.54486920850569,-51.19305614796464
177,-77.47702176623474,-77.51285971732032,-51.135443464001746
178,-77.28464388085867,-77.48758462678975,-51.01670005303808
179,-76.90930761353978,-77.31820910073014,-50.63550360174697
180,-54.042897414423685,-54.47234855948645,-27.28126031041927
181,-53.97424363439135,-54.4748368849689,-27.23237693188032
182,-53.847711452085036,-53.99007645866239,-26.742141585287733
183,-53.52858776914018,-53.83173795812025,-26.245306538265787
184,-53.54784078223316,-53.770980207676665,-26.207773737411024
185,-53.105583131805815,-53.645899506323964,-25.81268861911469
186,-52.76480745094577,-53.60591657838391,-25.32491344927375
187,-52.71365039071141,-53.60133729144923,-25.374565878339926
188,-52.33101149003603,-53.158678232644164,-24.950245758757333
189,-52.16314665549022,-53.006740958481416,-24.520069347825793
190,-51.74477847089946,-52.582143695969485,-24.055976100649115
191,-51.3957222925674,-52.16683076799736,-23.74938804269182
192,-28.49382389847222,-29.341891907878416,-0.49132088702600996
193,-28.545291599704615,-29.368245708644615,-0.4921100452104877
194,-28.43774951034545,-29.414906379026895,-0.45401518576305416
195,-28.462234484071868,-29.260203928245847,-0.4229107156979619
196,-28.116766308123225,-28.80695770781794,-0.02975347183232402
197,-28.01020366860334,-28.796961749243327,-0.041041754982441066
198,-27.684728497294156,-28.861313603306247,0.4577390154637384
199,-27.630794455622592,-28.86281045535271,0.48815677969054627
200,-27.376665700133977,-28.692759510090674,0.9524265926487794
201,-27.3392005792641,-28.728623907588478,1.0888062542014905
202,-27.353775078213776,-28.762910786927897,1.1030110695034885
203,-27.33506107543491,-28.766824454355834,1.1892779149477792
204,-27.25818049743121,-28.805061005188843,1.1516990227634547
205,-27.352229541495166,-28.39708706532567,1.538790901179205
206,-27.014223167446076,-28.365688225923968,1.8584263713881248
